true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,117,1,0,0,0,0,0,0,2,0
automobile,0,94,0,0,0,0,0,0,0,0
bird,0,0,103,0,0,0,0,0,0,0
cat,0,0,0,120,0,0,0,0,0,0
deer,0,0,0,1,126,1,0,0,0,0
dog,0,0,0,0,0,99,0,1,0,0
frog,0,0,0,0,0,0,101,0,0,0
horse,0,0,0,0,0,0,0,100,0,0
ship,0,0,0,0,0,0,0,0,100,0
truck,0,19,0,0,0,0,0,0,0,81
