true_label_name,mean_confidence,n
airplane,0.48577730328990865,312
automobile,0.4536346475729066,351
bird,0.5208268125981204,269
cat,0.414517644881142,253
deer,0.38636379034919593,131
dog,0.38003067179879013,258
frog,0.4953218469917774,250
horse,0.3773288153981169,300
ship,0.5017113557682847,106
truck,0.4958142135824476,35
