true_label_name,accuracy,n
airplane,0.9491525423728814,767
automobile,0.7099337748344371,755
bird,0.7028571428571428,700
cat,0.8789115646258503,735
deer,0.9806451612903225,620
dog,0.7617260787992496,533
frog,0.9847328244274809,524
horse,0.9623762376237623,505
ship,0.9855421686746988,415
truck,0.7411764705882353,510
