true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,99,7,9,0,0,0,0,3,6,0
automobile,1,97,0,0,0,0,1,0,3,3
bird,0,0,110,0,0,0,0,1,0,0
cat,0,0,0,126,1,0,0,0,0,0
deer,0,0,0,0,127,0,0,0,0,0
dog,0,0,0,2,0,94,2,2,0,0
frog,0,2,2,0,0,0,96,0,0,0
horse,0,3,0,0,0,0,0,99,0,0
ship,0,0,1,0,0,0,0,0,100,0
truck,0,20,0,0,0,0,1,1,0,78
