true_label_name,subtype,mean_cosine_similarity,mean_drift,n
airplane,abstract,0.30293312497557173,0.6970668750244283,124
airplane,cartoon,0.32317616586136605,0.6768238341386339,113
airplane,painting,0.3647916411360105,0.6352083588639895,120
airplane,real,0.25993865580321884,0.7400613441967812,312
airplane,sketch,0.33286305775447766,0.6671369422455223,98
automobile,abstract,0.2647736599225374,0.7352263400774627,105
automobile,cartoon,0.3359805593887965,0.6640194406112035,108
automobile,painting,0.3106536808958713,0.6893463191041287,94
automobile,real,0.1488992136629813,0.8511007863370187,351
automobile,sketch,0.31652941155372205,0.683470588446278,97
bird,abstract,0.15200910133284493,0.847990898667155,111
bird,cartoon,0.16842273821537734,0.8315772617846227,119
bird,painting,0.13162478598431476,0.8683752140156853,103
bird,real,0.09821957324157196,0.9017804267584281,269
bird,sketch,0.1809053216699739,0.8190946783300261,98
cat,abstract,0.23027961302225983,0.7697203869777401,127
cat,cartoon,0.2679130133887953,0.7320869866112047,121
cat,painting,0.3119473531842232,0.6880526468157768,120
cat,real,0.23701308527777318,0.7629869147222268,253
cat,sketch,0.2912502597952098,0.7087497402047902,114
deer,abstract,0.31172348145307516,0.6882765185469248,127
deer,cartoon,0.3374507573679981,0.6625492426320019,117
deer,painting,0.3529964382760227,0.6470035617239773,128
deer,real,0.2903875225145398,0.7096124774854602,131
deer,sketch,0.3583277400232788,0.6416722599767212,117
dog,abstract,0.1616567597538233,0.8383432402461767,100
dog,cartoon,0.24394279820401044,0.7560572017959896,126
dog,painting,0.16748663060367108,0.8325133693963289,100
dog,real,0.08895021996263844,0.9110497800373616,104
dog,sketch,0.21931670434338954,0.7806832956566104,103
frog,abstract,0.2913117223978043,0.7086882776021958,100
frog,cartoon,0.3057984834164381,0.6942015165835619,100
frog,painting,0.31683597883375564,0.6831640211662443,101
frog,real,0.2651657683194661,0.734834231680534,122
frog,sketch,0.35052227723126367,0.6494777227687364,101
horse,abstract,0.3626448641732043,0.6373551358267957,102
horse,cartoon,0.4769048419865695,0.5230951580134305,99
horse,painting,0.4601201365888119,0.5398798634111881,100
horse,real,0.4645138304023182,0.5354861695976818,102
horse,sketch,0.4750279009926553,0.5249720990073448,102
ship,abstract,0.273977175613146,0.726022824386854,101
ship,cartoon,0.3579628104620641,0.6420371895379359,101
ship,painting,0.25759249567985537,0.7424075043201447,100
ship,real,0.315294878471882,0.684705121528118,109
ship,sketch,0.2924208639633088,0.7075791360366912,105
truck,abstract,0.32398930686526,0.67601069313474,100
truck,cartoon,0.38219331159275405,0.617806688407246,98
truck,painting,0.30157904848456385,0.6984209515154362,100
truck,real,0.2258932611571168,0.7741067388428832,106
truck,sketch,0.3373507812338055,0.6626492187661944,106
