subtype,mean_cosine_similarity,mean_drift,n
abstract,0.2674836780487092,0.7325163219512908,1097
cartoon,0.31477834383015624,0.6852216561698438,1102
painting,0.30002747408654296,0.699972525913457,1066
real,0.21790420149606785,0.7820957985039322,1859
sketch,0.31612691573447954,0.6838730842655204,1041
