true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,291,4,0,0,0,0,0,0,14,3
automobile,4,257,2,0,2,0,0,8,32,46
bird,0,0,255,0,9,0,4,1,0,0
cat,1,2,6,162,60,9,9,0,0,4
deer,0,0,1,0,129,0,1,0,0,0
dog,0,0,0,0,0,104,0,0,0,0
frog,0,0,0,0,0,0,122,0,0,0
horse,0,0,0,0,0,0,0,102,0,0
ship,0,0,0,0,0,0,0,0,109,0
truck,0,0,0,0,0,0,0,0,0,106
