subtype,accuracy,macro_f1,mean_confidence,n
abstract,0.8764705882352941,0.8831757587306388,0.9356588265475105,170.0
cartoon,0.9662162162162162,0.959575539865395,0.9832914409202498,148.0
painting,0.961038961038961,0.9533727161313369,0.984886703940181,154.0
real,0.9484536082474226,0.9621410143870364,0.9619297116892445,291.0
sketch,0.9419354838709677,0.9371145730448054,0.9616692694925493,155.0
