subtype,mean_cosine_similarity,mean_drift,n
abstract,0.4967703126241863,0.5032296873758138,1097
cartoon,0.5113467015884259,0.4886532984115742,1001
painting,0.5198168533716148,0.4801831466283852,1066
real,0.55385578129162,0.44614421870838,1859
sketch,0.5421008632574713,0.45789913674252863,1041
