true_label_name,subtype,mean_confidence,n
airplane,abstract,0.38144080040435635,124
airplane,cartoon,0.39554411153086516,113
airplane,painting,0.4127393065020442,120
airplane,real,0.48870218963099593,312
airplane,sketch,0.370744699194115,98
automobile,abstract,0.3888849936780475,105
automobile,cartoon,0.35899426650117944,108
automobile,painting,0.4052654553125513,94
automobile,real,0.4512133112554027,351
automobile,sketch,0.4029279272504074,97
bird,abstract,0.3810544453292817,111
bird,cartoon,0.25489725911316746,119
bird,painting,0.4314372755080751,103
bird,real,0.5248235340565996,269
bird,sketch,0.2613921882014493,98
cat,abstract,0.32938767294949434,127
cat,cartoon,0.233756010382136,121
cat,painting,0.3651753063624104,120
cat,real,0.4150192129679702,253
cat,sketch,0.40312123200611066,114
deer,abstract,0.2862616765980176,127
deer,cartoon,0.25537408827843827,117
deer,painting,0.3548993151052855,128
deer,real,0.39559114223900643,131
deer,sketch,0.32073478671347994,117
dog,abstract,0.4165590000897646,100
dog,cartoon,0.2680253147901523,126
dog,painting,0.4607172730565071,100
dog,real,0.533265679071729,104
dog,sketch,0.330196167839673,103
frog,abstract,0.3644101844355464,100
frog,cartoon,0.27342802118510007,100
frog,painting,0.5228247393180828,101
frog,real,0.6441166215255613,122
frog,sketch,0.3210993895288741,101
horse,abstract,0.3106086566021629,102
horse,cartoon,0.28917547277729916,99
horse,painting,0.48450207605957984,100
horse,real,0.5986496607827789,102
horse,sketch,0.28071759042202254,102
ship,abstract,0.38515839205667524,101
ship,painting,0.48045475970953705,100
ship,real,0.583008485376288,109
ship,sketch,0.4373059657357988,105
truck,abstract,0.4191305432468653,100
truck,cartoon,0.4642853853957994,98
truck,painting,0.5004005285352469,100
truck,real,0.5424081823032982,106
truck,sketch,0.38926156968721803,106
