true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,97,0,0,0,0,0,0,0,1,0
automobile,0,97,0,0,0,0,0,0,0,0
bird,0,0,98,0,0,0,0,0,0,0
cat,0,0,1,112,0,0,1,0,0,0
deer,0,0,0,0,117,0,0,0,0,0
dog,0,1,0,0,1,100,1,0,0,0
frog,0,0,0,0,2,0,99,0,0,0
horse,0,0,0,0,0,0,0,102,0,0
ship,0,0,0,0,0,0,0,0,105,0
truck,0,13,0,0,0,0,0,0,0,93
