true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,717,12,9,0,0,0,0,3,23,3
automobile,5,653,2,0,2,0,1,8,35,49
bird,0,0,684,0,9,0,5,2,0,0
cat,1,2,7,641,61,9,10,0,0,4
deer,0,0,1,1,615,2,1,0,0,0
dog,0,1,1,3,2,518,4,4,0,0
frog,0,2,2,0,3,0,517,0,0,0
horse,0,3,0,0,1,0,0,501,0,0
ship,0,0,1,0,0,0,0,0,414,0
truck,0,60,0,0,0,0,1,1,0,448
