transform,level,accuracy,macro_f1,mean_confidence,n
blur,0,0.2015,0.14260928401232534,0.8759915836751461,2000.0
blur,1,0.17,0.10729398723654174,0.7006377858370543,2000.0
blur,2,0.125,0.0612163175493138,0.6012123242616654,2000.0
blur,3,0.1235,0.05990918519147369,0.5641873425096273,2000.0
pixelate,0,0.2015,0.14260928401232534,0.8759915836751461,2000.0
pixelate,1,0.118,0.05110492301385479,0.912998866930604,2000.0
pixelate,2,0.1145,0.04409376263231914,0.7252033549398184,2000.0
pixelate,3,0.084,0.03728162698610092,0.5819001763314009,2000.0
