subtype,accuracy,mean_confidence,n
abstract,0.935278030993619,0.11162698018273765,1097
cartoon,0.9836660617059891,0.11460164469242524,1102
painting,0.9765478424015009,0.11380016399760627,1066
real,0.8805809575040344,0.1118723137595757,1859
sketch,0.9798270893371758,0.11423503065716174,1041
