true,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,113,0,0,0,0,0,0,0,0,0
automobile,0,108,0,0,0,0,0,0,0,0
bird,0,0,118,0,0,0,1,0,0,0
cat,0,0,0,121,0,0,0,0,0,0
deer,0,0,0,0,116,1,0,0,0,0
dog,0,0,1,1,1,121,1,1,0,0
frog,0,0,0,0,1,0,99,0,0,0
horse,0,0,0,0,1,0,0,98,0,0
ship,0,0,0,0,0,0,0,0,0,0
truck,0,8,0,0,0,0,0,0,0,90
