0,1,2,3,4,5,6,7,8,9
728,6,1,0,3,0,3,0,13,13
30,536,0,4,4,2,5,21,12,141
49,5,492,6,21,11,70,10,34,2
2,2,8,646,42,7,22,3,0,3
0,0,0,2,608,2,5,3,0,0
2,7,0,21,37,406,11,39,1,9
2,0,1,5,0,0,516,0,0,0
1,0,0,1,16,0,1,486,0,0
4,0,0,0,2,0,0,0,409,0
1,128,0,1,1,0,1,0,0,378
