true_label_name,mean_confidence,n
airplane,0.43068047499252576,767
automobile,0.41742932332667293,755
bird,0.4055168882118804,700
cat,0.36039922423660753,735
deer,0.3242089084980468,620
dog,0.39581360767191837,533
frog,0.4343556973315377,524
horse,0.3929824198162792,505
ship,0.4732807828360293,415
truck,0.4631569973686162,510
